line,time,time_calculated(s),state,setpoint,temp_below,temp_below_filtered,esp32_ext_temp,fan_measured,board_temp,d,fan,fan_d,fan_i,fan_p,fan_power,fan_rpm_measured,fan_rpm_setpoint,heater,i,j,p,pid_sensor,relay_state,ror_above,ror_below,temp_above,temp_above_filtered
0,0,0,6,2397,384,381,771,0,311,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,80,771,0
1,0,0.5,6,2397,385,381,771,0,311,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,80,771,0
2,0,1,6,2397,385,382,771,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,86,771,0
3,0,1.5,6,2397,386,382,771,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,86,771,0
4,0,2,6,2397,385,382,770,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,80,770,0
5,0,2.5,6,2397,386,383,770,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,76,770,0
6,0,3,0,2397,386,383,769,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,74,769,0
7,0,3.5,0,2397,386,383,768,0,311,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,68,768,0
8,0,4,0,2397,386,383,768,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,62,768,0
9,0,4.5,0,2397,386,384,768,0,312,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,56,768,0
10,0,5,1,500,386,384,767,510,312,0,153,0,1062,290,67,2550,9817,0,11,68,56,2,1,0,52,767,0
11,0,5.5,1,500,384,384,765,1253,312,0,153,0,1452,172,81,6265,9817,5,20,68,57,2,1,0,42,765,0
12,0,6,1,500,381,384,754,1495,311,0,153,0,1802,92,94,7475,9817,6,32,68,58,2,1,0,16,754,0
13,0,6.5,1,500,383,384,748,1715,311,0,153,0,1936,60,99,8575,9817,6,46,68,58,2,1,0,15,748,0
14,0,7,1,500,387,384,734,1805,311,0,153,0,2026,40,103,9025,9817,7,55,68,56,2,1,0,4,734,0
15,0,7.5,1,500,396,384,727,1880,310,0,153,0,2106,20,106,9400,9817,7,66,68,52,2,1,0,74,727,0
16,0,8,1,500,408,386,711,1920,310,0,153,0,2146,8,107,9600,9817,7,76,68,46,2,1,0,208,711,0
